iter	RMSE
340	4.578757618
341	4.578525241
342	4.575535531
343	4.56922959
344	4.562547604
345	4.559292295
346	4.558439754
347	4.552860245
348	4.550315045
349	4.543399735
350	4.542795121
351	4.541829673
352	4.539219133
353	4.539149612
354	4.533016228
355	4.529878293
356	4.529656693
357	4.527820953
358	4.523453111
359	4.522224886
360	4.516424733
361	4.514515561
362	4.511493573
363	4.50787717
364	4.507665597
365	4.503431314
366	4.499939961
367	4.498502792
368	4.496349156
369	4.494068345
370	4.488551009
371	4.485847143
372	4.483172905
373	4.483007962
374	4.482916779
375	4.479319534
376	4.479235791
377	4.476811078
378	4.475808464
379	4.474656792
380	4.471741023
381	4.471525919
382	4.471446846
383	4.470003347
384	4.46736193
385	4.465311954
386	4.463547938
387	4.462841263
388	4.460508961
389	4.460326361
390	4.458516211
391	4.457942306
392	4.456001042
393	4.455641169
394	4.452324446
395	4.451573467
396	4.451070848
397	4.448637159
398	4.446473685
399	4.445842527
400	4.442750858
401	4.440738486
402	4.439129511
403	4.436944284
404	4.431478494
405	4.43088936
406	4.42888111
407	4.428631107
408	4.424961245
409	4.424680822
410	4.423670876
411	4.421500914
412	4.419059371
413	4.415475323
414	4.410323508
415	4.408277986
416	4.404527502
417	4.397691414
418	4.39513797
419	4.393532696
420	4.393359849
421	4.392078917
422	4.388229338
423	4.385487726
424	4.385246272
425	4.385033855
426	4.382577717
427	4.381299198
428	4.380355177
429	4.379412823
430	4.376889806
431	4.372148443
432	4.370095272
433	4.365333443
434	4.365190409
435	4.36406633
436	4.362439408
437	4.360154113
438	4.359212817
439	4.358297307
440	4.356501566
441	4.352078092
442	4.352000025
443	4.350036471
444	4.347464117
445	4.342143023
446	4.341202802
447	4.338893262
448	4.333246632
449	4.328479619
450	4.326504825
451	4.323141342
452	4.319511498
453	4.317601038
454	4.313920886
455	4.312541467
456	4.310480705
457	4.308854151
458	4.30706465
459	4.304993289
460	4.300830358
461	4.300769578
462	4.298620087
463	4.296787692
464	4.294390371
465	4.294129402
466	4.291457188
467	4.289297941
468	4.289237554
469	4.286164348
470	4.285362132
471	4.284841469
472	4.283840557
473	4.283091767
474	4.282955352
475	4.282501756
476	4.280456081
477	4.279709312
478	4.278982634
479	4.275633918
480	4.274114066
481	4.272553664
482	4.265862723
483	4.263851528
484	4.260099027
485	4.256900008
486	4.255871268
487	4.252900574
488	4.252852619
489	4.251216372
490	4.250303427
491	4.249707841
492	4.248061785
493	4.24114943
494	4.239863866
495	4.237793033
496	4.236432067
497	4.234175505
498	4.229546823
499	4.228350308
500	4.222610191
501	4.221905795
502	4.219788886
503	4.216102623
504	4.214090514
505	4.213157718
506	4.211304461
507	4.211187156
508	4.2065162
509	4.204769779
510	4.199867708
511	4.19694333
512	4.19307825
513	4.192207453
514	4.191929864
515	4.190103461
516	4.188436465
517	4.187247242
518	4.18335592
519	4.181169551
520	4.176965188
521	4.172292493
522	4.170224354
523	4.168938376
524	4.166292689
525	4.165255041
526	4.163268666
527	4.160301517
528	4.159118302
529	4.155712806
530	4.153312244
531	4.151057054
532	4.14839628
533	4.143965836
534	4.140618768
535	4.139546051
536	4.138620509
537	4.136489773
538	4.132776303
539	4.128068746
540	4.12536252
541	4.120162234
542	4.117970962
543	4.113106016
544	4.111302472
545	4.110657926
546	4.107499823
547	4.107226449
548	4.105297631
549	4.103867589
550	4.099074296
551	4.097023181
552	4.09517439
553	4.091311108
554	4.089524671
555	4.086824771
556	4.083995616
557	4.080576474
558	4.076911865
559	4.076534994
560	4.075326631
561	4.07119349
562	4.070450588
563	4.069984975
564	4.068637383
565	4.067313115
566	4.063838808
567	4.06192443
568	4.061872588
569	4.061097213
570	4.059124377
571	4.054944589
572	4.054770134
573	4.052583076
574	4.051791009
575	4.049353139
576	4.04578213
577	4.043814999
578	4.038845713
579	4.034248436
580	4.032640551
581	4.029320453
582	4.028558277
583	4.025193117
584	4.023621776
585	4.022390891
586	4.021961825
587	4.018682448
588	4.016182077
589	4.014749602
590	4.01335035
591	4.013119991
592	4.012126064
593	4.01039259
594	4.008967797
595	4.008392891
596	4.008120937
597	4.005335127
598	4.005286745
599	4.003541304
600	4.001963464
601	3.998901709
602	3.997932968
603	3.99618594
604	3.993591187
605	3.990954557
606	3.987935353
607	3.98651414
608	3.983398746
609	3.980571498
610	3.978082219
611	3.973359654
612	3.971726219
613	3.968908725
614	3.965918916
615	3.960823677
616	3.957535517
617	3.954803739
618	3.95285917
619	3.947541292
620	3.947241614
621	3.945147765
622	3.943547801
623	3.94342088
624	3.942866142
625	3.941390998
626	3.936434737
627	3.936151432
628	3.934732003
629	3.930068949
630	3.927981215
631	3.927154833
632	3.926250671
633	3.926193977
634	3.925342747
635	3.923226703
636	3.921768977
637	3.920572308
638	3.919819315
639	3.91901898
640	3.918956126
641	3.91523076
642	3.912923039
643	3.912723443
644	3.910936274
645	3.906675636
646	3.903600394
647	3.901293761
648	3.899933024
649	3.897231312
650	3.895538104
651	3.891601318
652	3.891401412
653	3.889818611
654	3.889436396
655	3.887392447
656	3.886712085
657	3.88322246
658	3.882615061
659	3.879120222
660	3.876428132
661	3.87397454
662	3.871063126
663	3.869852827
664	3.869162005
665	3.867312885
666	3.866377067
667	3.863468984
668	3.862496003
669	3.86183899
670	3.859364792
671	3.85714415
672	3.854155661
673	3.851202139
674	3.846895676
675	3.844585694
676	3.841880936
677	3.841096412
678	3.839037788
679	3.837776699
680	3.83620888
681	3.834932413
682	3.833649797
683	3.83239965
684	3.83149836
685	3.828007991
686	3.82464893
687	3.824363496
688	3.824113313
689	3.820754642
690	3.818044932
691	3.816458453
692	3.814585036
693	3.810000062
694	3.80784352
695	3.807185592
696	3.804832075
697	3.802955359
698	3.799948959
699	3.799364284
700	3.796897217
701	3.795850996
702	3.794717721
703	3.793320311
704	3.792807369
705	3.79218783
706	3.790210614
707	3.788784902
708	3.788353559
709	3.784422026
710	3.783754833
711	3.781144843
712	3.779251893
713	3.779048045
714	3.77800895
715	3.775372996
716	3.773036964
717	3.77121196
718	3.768092644
719	3.767872595
720	3.767536338
721	3.766256627
722	3.76219791
723	3.760915923
724	3.759897044
725	3.757827406
726	3.754752984
727	3.750852223
728	3.748932305
729	3.747547536
730	3.745851448
731	3.744798306
732	3.74218392
733	3.742075928
734	3.741978633
735	3.741042447
736	3.740994618
737	3.739570323
738	3.737675632
739	3.737574332
740	3.73565845
741	3.734880373
742	3.733822903
743	3.732184924
744	3.731529585
745	3.731227981
746	3.72850816
747	3.727943956
748	3.727558462
749	3.725986656
750	3.72362707
751	3.722867335
752	3.721888047
753	3.718541053
754	3.716977259
755	3.715822179
756	3.715344267
757	3.711959093
758	3.711797077
759	3.711093816
760	3.708420175
761	3.704224488
762	3.701931562
763	3.700021105
764	3.699612499
765	3.69858156
766	3.697978379
767	3.697032991
768	3.694715663
769	3.693306597
770	3.693151427
771	3.690863619
772	3.689206577
773	3.687699897
774	3.685506758
775	3.681527822
776	3.679010597
777	3.677183304
778	3.675782714
779	3.672976167
780	3.672044098
781	3.670454533
782	3.668768108
783	3.666833467
784	3.665980641
785	3.663798127
786	3.661440369
787	3.661368013
788	3.659634333
789	3.656468059
790	3.654648191
791	3.652874737
792	3.652151079
793	3.651502181
794	3.649745265
795	3.646716839
796	3.645567805
797	3.64341341
798	3.638511732
799	3.636544954
800	3.634539017
801	3.632519896
802	3.631874686
803	3.630562778
804	3.627881384
805	3.626002094
806	3.624189559
807	3.62254767
808	3.622008338
809	3.619807599
810	3.619475971
811	3.617175738
812	3.61592927
813	3.615850461
814	3.613578315
815	3.611919621
816	3.608269064
817	3.607663007
818	3.606783573
819	3.606636839
820	3.60490915
821	3.604425656
822	3.602962684
823	3.601307373
824	3.599415656
825	3.597014974
826	3.595087187
827	3.593323389
828	3.589655186
829	3.588506426
830	3.587602001
831	3.585910766
832	3.585096955
833	3.583766803
834	3.582739796
835	3.580253901
836	3.580244739
837	3.578667454
838	3.577849313
839	3.577541839
840	3.576614532
841	3.576604467
842	3.575690584
843	3.574891296
844	3.574748166
845	3.573688839
846	3.57269274
847	3.569287765
848	3.565914028
849	3.565066942
850	3.564880948
851	3.562219571
852	3.559449616
853	3.556050299
854	3.553600983
855	3.553067482
856	3.549545886
857	3.548675376
858	3.548472158
859	3.544944132
860	3.542634145
861	3.539440386
862	3.537799805
863	3.536848633
864	3.533029684
865	3.530103171
866	3.52999019
867	3.528677712
868	3.52853676
869	3.527602021
870	3.525106916
871	3.520762459
872	3.520271306
873	3.518409139
874	3.516933086
875	3.516888351
876	3.515946749
877	3.514444685
878	3.512015804
879	3.510003596
880	3.508893181
881	3.506271944
882	3.505753176
883	3.503849467
884	3.503313896
885	3.502380891
886	3.498792179
887	3.496819481
888	3.496065828
889	3.493989393
890	3.493034486
891	3.49128371
892	3.489150295
893	3.489022839
894	3.489006995
895	3.487825874
896	3.486043074
897	3.481943603
898	3.480800766
899	3.478799317
900	3.476658816
901	3.475370842
902	3.473765979
903	3.472539023
904	3.472421531
905	3.472238416
906	3.47030351
907	3.4663566
908	3.465683509
909	3.465612587
910	3.463679604
911	3.46251108
912	3.462108376
913	3.460781607
914	3.459227302
915	3.45620644
916	3.454363243
917	3.452715739
918	3.450036523
919	3.448751476
920	3.448094401
921	3.447929849
922	3.446188772
923	3.44403398
924	3.442240089
925	3.442128792
926	3.439501525
927	3.438199678
928	3.435530426
929	3.43483108
930	3.433168884
931	3.433051257
932	3.432235763
933	3.430759731
934	3.428090019
935	3.425205856
936	3.424790749
937	3.423297823
938	3.422525566
939	3.421602699
940	3.420679821
941	3.420581673
942	3.419498957
943	3.416677973
944	3.415502027
945	3.413520965
946	3.41172721
947	3.410876688
948	3.409252905
949	3.408700464
950	3.407390779
951	3.405602442
952	3.404440918
953	3.402740171
954	3.402140918
955	3.400920586
956	3.399036853
957	3.398258515
958	3.397356326
959	3.397261451
960	3.396741442
961	3.395881752
962	3.395423125
963	3.394005751
964	3.392556415
965	3.392052453
966	3.390593577
967	3.390064777
968	3.38894323
969	3.388321931
970	3.386521242
971	3.385189186
972	3.38357962
973	3.381878709
974	3.381310924
975	3.379696699
976	3.377106685
977	3.376061491
978	3.374301282
979	3.372300744
980	3.371961285
981	3.370793863
982	3.370765738
983	3.368899271
984	3.368343481
985	3.36763067
986	3.365876188
987	3.36532214
988	3.364204637
989	3.360485513
990	3.357929106
991	3.356197077
992	3.354313808
993	3.352991636
994	3.350465808
995	3.34938274
996	3.348521441
997	3.348425239
998	3.348316771
999	3.348185282
